414,4,181
415,5,361
416,6,3172
417,7,28848
418,8,351881
419,9,789278
420,10,866485
421,11,690826
422,12,457526
423,13,310836
424,14,348404
425,15,433075
426,16,375646
427,17,244491
428,18,141085
429,19,69546
430,20,35963
431,21,18097
432,22,8731
433,23,3646
434,0,2347
435,1,1372
436,2,368
437,3,119
438,4,233
439,5,490
440,6,3013
441,7,26509
442,8,341978
443,9,805075
444,10,888672
445,11,723270
446,12,484293
447,13,329447
448,14,353236
449,15,444958
450,16,396459
451,17,271673
452,18,162611
453,19,81190
454,20,39890
455,21,21882
456,22,10195
457,23,4673
458,0,1510
459,1,1603
460,2,189
461,3,227
462,4,290
463,5,552
464,6,3183
465,7,26892
466,8,355392
467,9,820425
468,10,898674
469,11,724010
470,12,487860
471,13,329582
472,14,356122
473,15,451365
474,16,406089
475,17,276284
476,18,166600
477,19,83877
478,20,39105
479,21,20888
480,22,9793
481,23,4337
482,0,4176
483,1,766
484,2,353
485,3,242
486,4,266
487,5,444
488,6,3303
489,7,27805
490,8,356665
491,9,828702
492,10,894304
493,11,725816
494,12,483451
495,13,324074
496,14,346979
497,15,448592
498,16,397624
499,17,269810
500,18,158748
501,19,78199
502,20,37792
503,21,18858
504,22,8907
505,23,4190
506,24,1
507,0,1550
508,1,417
509,2,370
510,3,150
511,4,75
512,5,294
513,6,2749
514,7,29424
515,8,355017
516,9,796731
517,10,871534
518,11,686903
519,12,451760
520,13,303372
521,14,339755
522,15,448289
523,16,391781
524,17,241281
525,18,127108
526,19,60335
527,20,28652
528,21,14502
529,22,7238
530,23,3128
531,0,1749
532,1,674
533,2,419
534,3,262
535,4,103
536,5,446
537,6,2940
538,7,32914
539,8,362089
540,9,773909
541,10,835042
542,11,658575
543,12,415130
544,13,286977
545,14,341012
546,15,423978
547,16,353457
548,17,212353
549,18,111715
550,19,54122
551,20,26831
552,21,13778
553,22,6992
554,23,3759
555,0,1247
556,1,497
557,2,382
558,3,245
559,4,274
560,5,591
561,6,4141
562,7,40100
563,8,395830
564,9,799445
565,10,819973
566,11,640615
567,12,438267
568,13,299506
569,14,332378
570,15,400455
571,16,324774
572,17,197960
573,18,111107
574,19,53324
575,20,25890
576,21,14266
577,22,7814
578,23,2748
579,0,1231
580,1,622
581,2,255
582,3,184
583,4,123
584,5,312
585,6,2947
586,7,36396
587,8,419054
588,9,849545
589,10,856220
590,11,650457
591,12,402573
592,13,272370
593,14,340124
594,15,415343
595,16,344231
596,17,213596
597,18,117833
598,19,53482
599,20,24521
600,21,12353
601,22,5431
602,23,2563
603,0,897
604,1,542
605,2,316
606,3,188
607,4,80
608,5,443
609,6,2705
610,7,28898
611,8,389948
612,9,899695
613,10,942328
614,11,730048
615,12,475200
616,13,313499
617,14,356432
618,15,472066
619,16,431745
620,17,300204
621,18,175533
622,19,81908
623,20,37728
624,21,16351
625,22,7675
626,23,3007
627,0,1294
628,1,423
629,2,178
630,3,322
631,4,307
632,5,398
633,6,2889
634,7,27713
635,8,384336
